Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
170; 6.814; NA; NA; 0.0001435; 0.7659; 0.3874; 84593.6430396825;
171; 6.761; NA; NA; 0.0001443; 0.7882; 0.3862; 84836.92253448532;
172; 6.82; NA; NA; 0.0001452; 0.8968; 0.3934; 83283.91856244463;
173; 7.126; NA; NA; 0.000146; 0.9834; 0.3904; 83938.38779659444;
174; 6.679; NA; NA; 0.0001469; 0.9843; 0.3873; 84598.6418022898;
175; 6.749; NA; NA; 0.0001477; 1.109; 0.3917; 83654.98718262417;
176; 6.863; NA; NA; 0.0001485; 0.9259; 0.3943; 83099.41500565327;
177; 6.643; NA; NA; 0.0001494; 1.033; 0.3883; 84379.35727292486;
178; 7.069; NA; NA; 0.0001502; 0.8491; 0.3923; 83535.65242485593;
179; 6.844; NA; NA; 0.000151; 0.8003; 0.3899; 84043.61047348882;
180; 6.65; NA; NA; 0.0001519; 0.8961; 0.3904; 83925.77877841386;
181; 6.636; NA; NA; 0.0001527; 0.8192; 0.3886; 84316.10034575754;
182; 6.809; NA; NA; 0.0001536; 0.7866; 0.3912; 83767.56607290223;
183; 6.843; NA; NA; 0.0001544; 0.8775; 0.398; 82336.24492104191;
184; 6.719; NA; NA; 0.0001552; 0.6357; 0.3915; 83694.26361823335;
185; 6.893; NA; NA; 0.0001561; 0.8592; 0.3886; 84318.6867387242;
186; 6.777; NA; NA; 0.0001569; 0.6554; 0.3898; 84053.63320192718;
187; 6.678; NA; NA; 0.0001578; 0.7387; 0.3924; 83501.03950107993;
188; 6.631; NA; NA; 0.0001586; 0.6173; 0.3854; 85016.97598054195;
189; 6.65; NA; NA; 0.0001594; 0.7816; 0.3904; 83936.59359941958;
190; 6.741; NA; NA; 0.0001603; 0.6793; 0.3904; 83926.44501383722;
191; 6.868; NA; NA; 0.0001611; 0.8611; 0.3855; 85009.19340357283;
192; 6.753; NA; NA; 0.000162; 0.6789; 0.3944; 83084.64583086487;
193; 6.726; NA; NA; 0.0001628; 0.7576; 0.3987; 82185.58480655384;
194; 6.622; NA; NA; 0.0001636; 0.7681; 0.3885; 84343.83474766617;
195; 6.727; NA; NA; 0.0001645; 0.788; 0.386; 84897.92187033819;
196; 6.684; NA; NA; 0.0001653; 0.958; 0.3904; 83938.95170297698;
197; 6.642; NA; NA; 0.0001662; 0.9147; 0.3883; 84380.54877980647;
198; 6.691; NA; NA; 0.000167; 0.7077; 0.3946; 83036.65716426207;
199; 6.828; NA; NA; 0.0001678; 1.029; 0.3905; 83921.83283161405;
200; 6.626; 6.746; 6.747; 0.0001687; 0.9085; 0.3832; 85510.27417251506;
201; 6.98; NA; NA; 0.0001695; 0.6756; 0.3781; 86669.56753296957;
202; 6.819; NA; NA; 0.0001703; 0.875; 0.3839; 85349.2168739866;
203; 6.827; NA; NA; 0.0001712; 0.8106; 0.3882; 84420.0948087143;
204; 7.06; NA; NA; 0.000172; 0.8273; 0.3859; 84921.84243739407;
205; 6.745; NA; NA; 0.0001729; 1.349; 0.3853; 85049.22575283433;
206; 6.742; NA; NA; 0.0001737; 1.14; 0.3847; 85175.56654329832;
207; 6.976; NA; NA; 0.0001745; 0.7968; 0.3891; 84225.10868149075;
208; 6.685; NA; NA; 0.0001754; 0.9223; 0.3841; 85320.28779179307;
209; 6.656; NA; NA; 0.0001762; 0.6527; 0.3825; 85672.15407640862;
210; 6.682; NA; NA; 0.0001771; 0.9796; 0.3882; 84409.5179285609;
211; 6.714; NA; NA; 0.0001779; 0.8985; 0.3853; 85054.43641228942;
212; 6.532; NA; NA; 0.0001787; 0.8113; 0.3821; 85761.21676025551;
213; 6.726; NA; NA; 0.0001796; 0.9285; 0.3847; 85167.64935250033;
214; 6.633; NA; NA; 0.0001804; 0.843; 0.3879; 84476.44578628722;
215; 6.634; NA; NA; 0.0001813; 0.6613; 0.3831; 85541.6747922748;
216; 6.865; NA; NA; 0.0001821; 0.7549; 0.3818; 85814.71116111735;
217; 6.686; NA; NA; 0.0001829; 0.8265; 0.3856; 84972.2456127118;
218; 6.74; NA; NA; 0.0001838; 0.6613; 0.386; 84887.95894415474;
219; 6.686; NA; NA; 0.0001846; 0.8381; 0.3844; 85233.82952484135;
220; 7.087; NA; NA; 0.0001855; 1.102; 0.384; 85336.71032175985;
221; 6.748; NA; NA; 0.0001863; 0.7162; 0.3869; 84685.2244428164;
222; 6.823; NA; NA; 0.0001871; 0.8042; 0.3871; 84653.9800559026;
223; 6.645; NA; NA; 0.000188; 0.6539; 0.382; 85776.47112511327;
224; 6.74; NA; NA; 0.0001888; 0.848; 0.3836; 85424.33323699405;
225; 6.68; NA; NA; 0.0001897; 1.179; 0.3885; 84352.06543963264;
226; 6.527; NA; NA; 0.0001905; 0.8752; 0.3835; 85450.35769677699;
227; 6.535; NA; NA; 0.0001913; 0.7997; 0.3832; 85520.96908241599;
228; 6.52; NA; NA; 0.0001922; 0.8427; 0.3873; 84616.8714619055;
229; 6.435; NA; NA; 0.000193; 0.8509; 0.3872; 84625.46816946157;
230; 6.646; NA; NA; 0.0001938; 1.031; 0.3827; 85626.99854774408;
231; 6.572; NA; NA; 0.0001947; 0.7722; 0.3866; 84765.8150581351;
232; 6.433; NA; NA; 0.0001955; 0.8412; 0.3884; 84358.07123474666;
233; 6.631; NA; NA; 0.0001964; 0.8514; 0.3808; 86044.86930521244;
234; 6.601; NA; NA; 0.0001972; 0.7407; 0.3803; 86161.49226020166;
235; 6.679; NA; NA; 0.000198; 0.69; 0.389; 84236.20730207957;
236; 6.389; NA; NA; 0.0001989; 0.8418; 0.3843; 85273.65050938737;
237; 6.386; NA; NA; 0.0001997; 0.931; 0.3828; 85597.5077084431;
238; 6.45; NA; NA; 0.0002006; 0.8567; 0.3815; 85901.22500929708;
239; 6.389; NA; NA; 0.0002014; 0.8128; 0.3835; 85437.02481944577;
240; 6.631; NA; NA; 0.0002022; 0.6894; 0.3877; 84509.48185405771;
241; 6.569; NA; NA; 0.0002031; 0.7464; 0.3851; 85099.09530254865;
242; 6.569; NA; NA; 0.0002039; 0.6871; 0.3832; 85522.29948215804;
243; 6.655; NA; NA; 0.0002048; 0.7547; 0.386; 84890.16107388354;
244; 6.49; NA; NA; 0.0002056; 0.7381; 0.3866; 84756.14444915179;
245; 6.555; NA; NA; 0.0002064; 0.6793; 0.3838; 85376.15019955834;
246; 6.578; NA; NA; 0.0002073; 0.7298; 0.3849; 85125.76552578443;
247; 6.485; NA; NA; 0.0002081; 0.6833; 0.3897; 84092.92477957868;
248; 6.517; NA; NA; 0.000209; 0.753; 0.3839; 85356.58473680484;
249; 6.565; NA; NA; 0.0002098; 0.8605; 0.384; 85335.0148002491;
250; 6.663; NA; NA; 0.0002106; 2.345; 0.3893; 84165.07200810303;
251; 6.598; NA; NA; 0.0002115; 1.736; 0.3829; 85586.7936479469;
252; 6.615; NA; NA; 0.0002123; 1.918; 0.3837; 85408.51386687132;
253; 6.852; NA; NA; 0.0002131; 1.678; 0.3894; 84152.49785055593;
254; 6.504; NA; NA; 0.000214; 1.304; 0.3843; 85260.4256056179;
255; 6.567; NA; NA; 0.0002148; 1.075; 0.3809; 86027.903868844;
