Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
221; 2.621; NA; NA; 0.001; 0.0; 0.02575; 39771.898286878415;
222; 2.519; NA; NA; 0.001; 0.0; 0.02523; 40592.468324401976;
223; 2.509; NA; NA; 0.001; 0.0; 0.02537; 40354.855736164616;
224; 2.547; NA; NA; 0.001; 0.0; 0.0253; 40469.6903361978;
225; 2.6; NA; NA; 0.001; 0.0; 0.02547; 40199.9934107076;
226; 2.572; NA; NA; 0.001; 0.0; 0.02728; 37532.593709856425;
227; 2.378; NA; NA; 0.001; 0.0; 0.02665; 38421.33447837833;
228; 2.53; NA; NA; 0.001; 0.0; 0.02637; 38834.74353502839;
229; 2.534; NA; NA; 0.001; 0.0; 0.02636; 38851.95704994256;
230; 2.457; NA; NA; 0.001; 0.0; 0.02602; 39352.103644793024;
231; 2.516; NA; NA; 0.001; 0.0; 0.0263; 38934.3712527082;
232; 2.591; NA; NA; 0.001; 0.0; 0.02626; 38988.446768336966;
233; 2.514; NA; NA; 0.001; 0.0; 0.02632; 38904.74646955986;
234; 2.536; NA; NA; 0.001; 0.0; 0.02618; 39110.22242457907;
235; 2.506; NA; NA; 0.001; 0.0; 0.02627; 38985.96944638594;
236; 2.49; NA; NA; 0.001; 0.0; 0.02626; 38988.80069717408;
237; 2.602; NA; NA; 0.001; 0.0; 0.02859; 35820.05017347211;
238; 2.526; NA; NA; 0.001; 0.0; 0.02692; 38035.824759340765;
239; 2.459; NA; NA; 0.001; 0.0; 0.02662; 38466.41257444808;
240; 2.464; NA; NA; 0.001; 0.0; 0.02641; 38778.292080861705;
241; 2.455; NA; NA; 0.001; 0.0; 0.02659; 38505.03658678716;
242; 2.475; NA; NA; 0.001; 0.0; 0.02635; 38854.41736927809;
243; 2.507; NA; NA; 0.001; 0.0; 0.02652; 38612.000791125014;
244; 2.504; NA; NA; 0.001; 0.0; 0.02649; 38657.8756098;
245; 2.504; NA; NA; 0.001; 0.0; 0.02635; 38864.965125328024;
246; 2.505; NA; NA; 0.001; 0.0; 0.02636; 38850.90272274989;
247; 2.526; NA; NA; 0.001; 0.0; 0.02623; 39036.994955600196;
248; 2.446; NA; NA; 0.001; 0.0; 0.02667; 38401.066618981626;
249; 2.496; NA; NA; 0.001; 0.0; 0.02644; 38729.686336747945;
250; 2.438; NA; NA; 0.001; 0.0; 0.02622; 39059.71585772879;
251; 2.553; NA; NA; 0.001; 0.0; 0.02629; 38952.73302436945;
252; 2.463; NA; NA; 0.001; 0.0; 0.02617; 39124.82961667395;
253; 2.423; NA; NA; 0.001; 0.0; 0.02645; 38720.25906259297;
254; 2.567; NA; NA; 0.001; 0.0; 0.0266; 38499.85923017623;
255; 2.56; NA; NA; 0.001; 0.0; 0.02634; 38874.111147315445;
256; 2.467; NA; NA; 0.001; 0.0; 0.02544; 40256.51228793702;
257; 2.517; NA; NA; 0.001; 0.0; 0.02478; 41321.20429859247;
258; 2.654; NA; NA; 0.001; 0.0; 0.02606; 39292.34178651151;
259; 2.651; NA; NA; 0.001; 0.0; 0.02604; 39321.48000036621;
260; 2.692; NA; NA; 0.001; 0.0; 0.02619; 39100.60900914024;
261; 2.623; NA; NA; 0.001; 0.0; 0.02619; 39091.711911458195;
262; 2.535; NA; NA; 0.001; 0.0; 0.02624; 39018.553677038384;
263; 2.621; NA; NA; 0.001; 0.0; 0.02668; 38387.68095527511;
264; 2.619; NA; NA; 0.001; 0.0; 0.02664; 38433.02398167371;
265; 2.531; NA; NA; 0.001; 0.0; 0.02636; 38847.037345899545;
266; 2.572; NA; NA; 0.001; 0.0; 0.02626; 38989.50857412602;
267; 2.639; NA; NA; 0.001; 0.0; 0.02622; 39047.28708838664;
268; 2.569; NA; NA; 0.001; 0.0; 0.02479; 41306.103116975544;
269; 2.532; NA; NA; 0.001; 0.0; 0.02473; 41405.656046043056;
270; 2.491; NA; NA; 0.001; 0.0; 0.02478; 41318.02418493685;
271; 2.418; NA; NA; 0.001; 0.0; 0.02473; 41410.845925411704;
272; 2.516; NA; NA; 0.001; 0.0; 0.02467; 41512.91110660056;
273; 2.514; NA; NA; 0.001; 0.0; 0.02474; 41398.47220642525;
274; 2.574; NA; NA; 0.001; 0.0; 0.02469; 41480.83653818294;
275; 2.502; NA; NA; 0.001; 0.0; 0.02579; 39707.91849413853;
276; 2.551; NA; NA; 0.001; 0.0; 0.02652; 38608.87692708755;
277; 2.456; NA; NA; 0.001; 0.0; 0.02608; 39259.65772996097;
