Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
1570; 6.191; 6.093; 0.0005971; 0.6223; 0.9254; 8852.134825532266;
1580; 6.288; 6.187; 0.000597; 0.8773; 0.9264; 8842.609960982587;
1590; 6.212; 6.121; 0.000597; 0.6655; 0.9208; 8896.383879298248;
1600; 6.202; 6.117; 0.0005969; 0.9959; 0.9163; 8940.037641071407;
1610; 6.211; 6.111; 0.0005968; 1.119; 0.9332; 8778.469787628906;
1620; 6.193; 6.098; 0.0005968; 0.6272; 0.9288; 8820.004406955433;
1630; 6.194; 6.09; 0.0005967; 0.6233; 0.9226; 8879.210387204743;
1640; 6.188; 6.081; 0.0005966; 0.5716; 0.9239; 8867.024679729198;
1650; 6.191; 6.09; 0.0005966; 0.5762; 0.9231; 8874.330253638349;
1660; 6.184; 6.094; 0.0005965; 0.6944; 0.9297; 8811.147254983618;
1670; 6.179; 6.087; 0.0005964; 0.6537; 0.9281; 8827.030847316637;
1680; 6.165; 6.078; 0.0005963; 0.6056; 0.9343; 8767.800382509688;
1690; 6.184; 6.089; 0.0005963; 0.8293; 0.9255; 8851.398257992401;
1700; 6.178; 6.08; 0.0005962; 0.7659; 0.9241; 8865.308814392665;
1710; 6.16; 6.058; 0.0005961; 0.5921; 0.9283; 8824.913353639007;
1720; 6.151; 6.047; 0.000596; 0.6139; 0.9322; 8787.987263971305;
1730; 6.14; 6.039; 0.0005959; 0.6285; 0.936; 8752.129047508426;
1740; 6.143; 6.041; 0.0005959; 0.7716; 0.9285; 8822.905620639389;
1750; 6.146; 6.045; 0.0005958; 1.126; 0.9377; 8736.358138490637;
1760; 6.14; 6.041; 0.0005957; 0.674; 0.9385; 8728.863178346564;
1770; 6.115; 6.019; 0.0005956; 0.5997; 0.9367; 8745.158977561981;
1780; 6.118; 6.025; 0.0005955; 0.7624; 0.9319; 8790.527844515971;
1790; 6.099; 6.012; 0.0005954; 0.626; 0.926; 8846.66708239796;
1800; 6.101; 6.026; 0.0005954; 0.7869; 0.9289; 8818.779721066752;
1810; 6.104; 6.018; 0.0005953; 0.7712; 0.9419; 8697.225743072984;
1820; 6.094; 6.006; 0.0005952; 0.606; 0.9255; 8851.5555949419;
1830; 6.083; 5.991; 0.0005951; 0.5874; 0.9336; 8774.262096558987;
1840; 6.082; 5.992; 0.000595; 0.9528; 0.9206; 8898.934520074165;
1850; 6.116; 6.018; 0.0005949; 0.638; 0.9197; 8907.705864068306;
1860; 6.103; 6.007; 0.0005948; 0.7939; 0.9345; 8765.984040991238;
1870; 6.084; 5.99; 0.0005947; 0.6316; 0.9259; 8847.452982227196;
1880; 6.088; 6.001; 0.0005947; 0.628; 0.9199; 8905.041719505118;
1890; 6.074; 5.984; 0.0005946; 1.042; 0.93; 8808.511190816724;
1900; 6.061; 5.975; 0.0005945; 0.6606; 0.9269; 8837.917725458645;
1910; 6.066; 5.971; 0.0005944; 1.353; 0.934; 8770.615856608018;
1920; 6.134; 6.043; 0.0005943; 0.6895; 0.9316; 8793.564977799662;
1930; 6.109; 6.012; 0.0005942; 1.117; 0.9269; 8837.82452257765;
